Day;Population size;Plants quantity;Free field;Most popular genotype;Average energy level;Average life length;
1;1;19;399;[7, 7, 7, 5, 7, 7, 3, 7, 2, 3];10.0;1.0;
2;0;29;400;[];0.0;1.0;
